id,ua_browser,ua_mobile,client,ordertotal,totalitems,partialip,productid,productname
,Firefox,FALSE,targetcom,13.99,2,72.235.23,13963729,e.l.f. High Definition Powder - Translucent
,Chrome,FALSE,targetcom,39.44,4,97.104.173,13389381,Cetaphil DailyAdvance Ultra Hydrating Lotion 16-oz.
,Chrome,FALSE,targetcom,142.45,2,50.156.209,14714009,Promotional Gift Card $25
,Chrome,FALSE,targetcom,214.97,3,99.42.168,16721764,Graco Snugride 30 Click Connect Infant Car Seat
,Chrome,FALSE,targetcom,179.98,1,107.185.163,50860840,Windham Tall Cabinet with Drawer - Threshold&amp;trade;
,Other,FALSE,targetcom,28.47,2,99.198.141,16339323,Nescafe Dolce Gusto Mocha Coffee Capsules 8ct
,Safari,FALSE,targetcom,58.21,4,69.127.214,50084358,Threshold&amp;trade; Bath Rug - Blue Ombre
,Firefox,FALSE,targetcom,332.48,1,50.29.130,51152271,Isabelle 50&amp;quot; Bench
,Chrome,FALSE,targetcom,135.07,5,129.123.230,16387848,Remington Vacuum Hair Clipper Kit for Men
,Chrome,FALSE,targetcom,135.07,5,129.123.230,18764955,Triumph Sports USA Kubb
,Firefox,FALSE,targetcom,59.53,4,80.112.184,14714006,Promotional Gift Card $5
,Safari,FALSE,targetcom,133.5,10,67.82.240,51063882,Room Essentials&amp;trade; Texture Bath Towels
,Safari,FALSE,targetcom,133.5,10,67.82.240,15287558,Room Essentials&amp;trade; Multilingual Welcome Doormat
,Safari,FALSE,targetcom,19.99,1,104.55.153,17072455,Clue 1986 Edition Retro Board Game
,Other,FALSE,targetcom,231.91,9,187.21.130,17286041,Puffy Vest Doll Outfit - Our Generation&amp;trade;
,Safari,FALSE,targetcom,5.19,1,24.5.130,14580725,Pyrex Grip Rite 9.5&amp;quot; Glass Pie Pan - Clear
,IE,FALSE,targetcom,90.54,3,173.171.221,50486844,Watercolor Wonder Comforter Set - Pillowfort&amp;trade;
,Chrome,FALSE,targetcom,14.98,2,72.89.185,14146657,Seventh Generation&amp;trade; Free and Clear Baby Wipes - 256 Count
,Firefox,FALSE,targetcom,67.48,2,71.174.88,13573970,Victorinox Soldier Lockblade Knife - Green
,Other,FALSE,targetcom,30.98,3,108.237.173,15506302,Rx for Brown Daily Brightening Cleanser - 5 oz
,IE,FALSE,targetcom,25.47,3,24.176.93,16601211,Philips Avent Pink/Purple Soothie (0-3 Months)
,Chrome,FALSE,targetcom,33.56,4,68.46.36,14645443,Gud Mango Moonbreeze Natural Body Wash - 10 oz
,Chrome,FALSE,targetcom,65.97,2,50.157.98,18812891,Bali 5/8&amp;quot; Modern Urn Decorative Curtain Rod
,Safari,FALSE,targetcom,58.3,11,108.95.105,51169171,e.l.f. Studio Duo Concealer/Highlighter - 0.4Fl Oz
,Chrome,FALSE,targetcom,132.91,5,23.28.6,14714009,Promotional Gift Card $25
,Chrome,FALSE,targetcom,42,1,97.71.113,16360967,Jelly Lounger Black/Clear  - Room Essentials&amp;trade;
,Chrome,FALSE,targetcom,43.99,1,98.10.32,10722662,Sunpentown Mini Dehumidifier &amp;#45; SD&amp;#45;350
,Chrome,FALSE,targetcom,165,1,73.19.207,15405232,Tegu 42-piece Set in Natural
,Safari,FALSE,targetcom,12.79,1,216.246.187,51098677,Live in Columbia
,Other,FALSE,targetcom,118,10,100.38.136,14714006,Promotional Gift Card $5
,Safari,FALSE,targetcom,38.97,5,76.0.72,14714006,Promotional Gift Card $5
,Chrome,FALSE,targetcom,36.98,2,99.194.242,14815345,Pampers Easy Ups Boys Training Pants (Select Size)
,Safari,FALSE,targetcom,150.81,8,71.199.3,14599110,Similac Advance Infant Formula with Iron On-the-Go 8 oz 6 ct
,Chrome,FALSE,targetcom,132.96,2,165.230.224,17367867,Similac Advance Non-GMO Infant Formula Powder - 1.45lb
,Chrome,FALSE,targetcom,69.99,1,192.243.80,46782866,Almeria Quilt &amp; Sham Set - Mudhut&amp;trade;
,Chrome,FALSE,targetcom,31.26,5,104.162.77,11537364,Aveeno&amp;#174; Positively Radiant&amp;#174; Brightening Cleanser- 6.7 Fl. Oz
,Chrome,FALSE,targetcom,77.79,11,50.111.209,14763661,Scotch Lint Roller Value Pack - 140 Sheets
,Other,FALSE,targetcom,33.98,1,162.232.73,13574461,Gerber Newborn 10 Pack Gauze Prefold Diaper - White
,Chrome,FALSE,targetcom,44.98,2,69.203.0,13294330,Roc&amp;#174; Skincare Lift Anti-Gravity Night Cream - 1.7 fl Oz
,Other,FALSE,targetcom,211.61,6,107.146.164,14772554,Bathroom Wastebasket Frost Umbra Loft
,Chrome,FALSE,targetcom,46.76,4,162.230.116,16709286,"Proctor-Silex Belgian Flip Waffle Baker, Black - 26060Y"
,Mobile Safari,TRUE,targetcom,37.8,4,200.24.216,14959062,Caress Tahitian Renewal Pomegranate Seeds &amp; Coconut Milk Body Wash 18 oz
,Chrome,FALSE,targetcom,59.98,2,174.70.90,17481246,J World Dexter Laptop Backpack
,Other,FALSE,targetcom,29.99,1,98.223.118,15844221,BISSELL&amp;#174; Natural Sweep Dual Sweeper
,Chrome,FALSE,targetcom,126.46,3,99.70.246,16574179,Diapers Giant Pack (Select Size) - up &amp; up&amp;trade;
,Chrome,FALSE,targetcom,48.45,5,98.216.13,14714006,Promotional Gift Card $5
,Chrome,FALSE,targetcom,33.99,1,108.80.241,50335649,O-Cedar Easy Wring Spin Mop and Bucket
,Chrome,FALSE,targetcom,349.99,1,192.241.134,50522463,PlayStation 4 500GB Console with Call of Duty: Black Ops 3 Bundle
,Firefox,FALSE,targetcom,7.99,1,104.175.79,14532377,HAWAIIAN Tropic Silk Hydration Clear Mist Spray Sunscreen SPF 30 - 6 oz
,Chrome,FALSE,targetcom,143.45,4,198.59.47,14714009,Promotional Gift Card $25
,Chrome,FALSE,targetcom,50,1,70.40.225,13035122,Disney Gift Card - $50
,Firefox,FALSE,targetcom,31.98,1,173.216.119,14171602,Threshold&amp;trade; Coupe Mug Set of 4 - White
,Chrome,FALSE,targetcom,132.45,4,73.5.128,14893053,Baby Wipes Refill Pack - Unscented - 800 ct - up &amp; up&amp;trade;
,Safari,FALSE,targetcom,219.94,2,172.1.97,50065617,Curtain Panels homethreads NATURA Solid
,Safari,FALSE,targetcom,219.94,2,172.1.97,18762874,Bali 1&amp;quot; Leaf Urn Decorative Curtain Rod
,IE,FALSE,targetcom,49.95,1,71.90.37,15279812,KidCo GoPod Activity Seat
,Safari,FALSE,targetcom,63.97,2,68.81.191,14034333,ZeroWater 10-Cup Filtration Pitcher
,Firefox,FALSE,targetcom,140.76,4,100.1.142,14082079,Manhattan Toy Skwish Rattle - Classic
,Chrome,FALSE,targetcom,22.99,2,75.118.127,50852428,"Harry Potter and the Cursed Child - Parts I &amp; II (Special Rehearsal Edition) (Hardcover) by J.K. Rowling, Jack Thorne &amp; John Tiffany"
,Chrome,FALSE,targetcom,81.16,4,96.246.1,17448867,Razor Kick Scooter (A Scooter) Royal Blue
,Firefox,FALSE,targetcom,35.98,1,69.141.207,10959593,Mueller Adjust to Fit Ankle Brace Black-One Size Fits Most
,Other,FALSE,targetcom,89.52,2,76.24.32,13713829,Sure Fit Stretch Pique Short  Dining Chair Slipcover
,Chrome,FALSE,targetcom,31.63,1,72.132.68,10181500,Corelle Livingware Winter Frost White 16-pc. Dinnerware Set
,Safari,FALSE,targetcom,22.99,1,73.88.220,51294111,Beauty and the Beast - 25th Anniversary Edition (Blu-ray/DVD)
,Firefox,FALSE,targetcom,67.48,2,71.174.88,50220535,Victorinox Swiss Army Tinker Knife with Key Chain &amp; Sharpener
,Chrome,FALSE,targetcom,46.15,4,76.218.19,13600340,Boon Lawn Drying Rack (Large)- Green
,Firefox,FALSE,targetcom,49.99,1,24.186.83,50253251,6-Cube Organizer Shelf 13&amp;quot; - Threshold&amp;trade;
,Chrome,FALSE,targetcom,40.64,5,76.167.118,14791667,St. Ives Daily Hydrating Vitamin E and Avocado Body Lotion 21 oz
,Chrome,FALSE,targetcom,77.79,11,50.111.209,16731162,Gillette Venus with a Touch of Olay Violet Swirl Shave Gel - 7 oz
,Chrome,FALSE,targetcom,77.79,11,50.111.209,14711582,Gain Fireworks Original Scent In-Wash Scent Booster 19.5 oz
,Safari,FALSE,targetcom,125.99,1,73.179.204,14546221,Carson Horizontal Bookcase - Threshold&amp;trade;
,Chrome,FALSE,targetcom,365.47,2,99.189.29,16312450,Hudson Swoop Arm Chair - Threshold&amp;trade;
,Chrome,FALSE,targetcom,10.99,1,73.141.35,12236877,Jane Carter Solution Wrap and Roll - 8 fl.oz.
,Chrome,FALSE,targetcom,135.07,5,129.123.230,11098934,Marshmallow Roasting Set
,Safari,FALSE,targetcom,31.35,6,74.215.142,50679298,Finding Dory&amp;#174; Throw  50&amp;quot;X60&amp;quot; Blue - Disney&amp;#174;
,Firefox,FALSE,targetcom,59.53,4,80.112.184,14930149,Medela 6pk BPA-Free Breastmilk Collection &amp; Storage Bottles
,Safari,FALSE,targetcom,133.5,10,67.82.240,50488725,Stripe Pot Holder Oven Mitt Orange/Gray (Set of 2) - Room Essentials&amp;trade;
,Other,FALSE,targetcom,231.91,9,187.21.130,17286046,Counting Puppies Doll &amp;quot;Pajamas&amp;quot;. - Our Generation&amp;trade;
,Other,FALSE,targetcom,42.49,1,67.230.246,16589522,PipelineGo Bean Bag Toss
,Chrome,FALSE,targetcom,152.46,3,68.62.19,14061588,Safety 1st Plug Protectors - 36Pack
,Safari,FALSE,targetcom,58.3,11,108.95.105,16300515,Orphan Train (Reprint) (Hardcover)
,Other,FALSE,targetcom,211.61,6,107.146.164,14942426,Bath Towels - Nate Berkus&amp;trade;
,Firefox,FALSE,targetcom,29.99,1,198.98.194,17217095,Aqua Dance 3 Way Combo Showerhead - Chrome
,Chrome,FALSE,targetcom,35.94,2,75.1.182,13809679,Dr Seuss One Fish Diaper Stacker
,Chrome,FALSE,targetcom,47.97,3,76.14.170,13583231,Multi-Colored Solid Balloons 72 CT - Spritz&amp;trade;
,Chrome,FALSE,targetcom,29.99,1,69.244.227,16334594,Women&amp;lsquo;s Sport Wide Strap One Piece - C9 Champion
,Chrome,FALSE,targetcom,8.99,1,108.211.61,14815370,Pampers Swaddlers Diapers Jumbo Pack (Select Size)
,Safari,FALSE,targetcom,11.99,1,104.174.77,51184884,Torchiere Floor Lamp with Task Light - Room Essentials&amp;trade;
,Firefox,FALSE,targetcom,18.98,2,97.84.164,18776044,Barbie Chelsea &amp; Pup Mobile Playset
,Chrome,FALSE,targetcom,48.45,5,98.216.13,11225230,Aquaphor Baby Healing Ointment 14 oz
,Chrome,FALSE,targetcom,7.99,1,146.151.108,50295429,Goo Gone Grill &amp; Grate Cleaner - 24 oz
,Chrome,FALSE,targetcom,7.99,1,24.118.221,44361839,Set Enterprises SET Card Game
,Firefox,FALSE,targetcom,29.99,1,98.167.153,50700946,Pineapple Table Lamp - Pillowfort&amp;trade;
,Mobile Safari,TRUE,targetcom,109.12,7,186.56.167,14762914,"Philips Avent Natural Bottle, Pink Deco - 9oz (3pk)"
,Chrome,FALSE,targetcom,30,1,66.234.211,16671280,Bullseye Box Gift Card
,Chrome,FALSE,targetcom,11.99,1,108.91.21,39601953,Hydro Twist Pipeline Sprinkler
,Chrome,FALSE,targetcom,89.6,2,98.125.235,50210102,Crayola Bolster Decorative Pillow
,Safari,FALSE,targetcom,188.72,15,72.229.5,12239779,SheaMoisture Coconut &amp; Hibiscus Curl &amp; Style Milk - 8 fl oz
,Chrome,FALSE,targetcom,81.81,5,119.252.114,12200299,Dove Intensive Repair Shampoo 25.4 oz
,Chrome,FALSE,targetcom,34.98,2,73.139.18,50305516,Baby Delight&amp;#174; Snuggle Nest Surround 2Pk Accessory Sheets - XL
,Chrome,FALSE,targetcom,79.62,6,73.206.150,14714006,Promotional Gift Card $5
,IE,FALSE,targetcom,899.99,1,50.241.112,50344790,iRobot&amp;#174; Roomba&amp;#174; 980 Vacuum Cleaning Robot
,Chrome,FALSE,targetcom,154.99,1,71.119.217,18834020,South Shore 4-Drawer Chest
,Chrome,FALSE,targetcom,112.44,4,68.4.167,15740719,Textured Decorative Pillow - Rose - Boho Boutique&amp;trade;
,Firefox,FALSE,targetcom,349.42,9,71.201.46,10462366,L.A. Baby 4-Side Changing Pad
,Other,FALSE,targetcom,110.58,13,199.241.148,14714006,Promotional Gift Card $5
,Chrome,FALSE,targetcom,28.48,3,100.2.41,14777146,Coppertone&amp;#174; Water BABIES&amp;#174; Sunscreen Lotion with SPF 50 - 3 oz
,Safari,FALSE,targetcom,125,4,67.224.39,15360283,Happy Birthday Balloons Gift Card
,Mobile Safari,TRUE,targetcom,11.98,2,104.162.102,50295806,Aladdin 16oz Kids Mason Jar Tumbler - Grape
,Safari,FALSE,targetcom,94.92,3,186.15.28,14217233,Performance 400 Thread Count Sheet Set - Solid - Threshold&amp;trade;
,Chrome,FALSE,targetcom,27.85,5,99.48.153,14714006,Promotional Gift Card $5
,Chrome,FALSE,targetcom,96.96,2,76.4.39,50253259,Fabric Cube Storage Bin 13&amp;quot; - Threshold
,Chrome,FALSE,targetcom,131.99,1,69.59.126,16230780,Threshold&amp;trade; Multi Moroccan Tile Rug
,Firefox,FALSE,targetcom,349.42,9,71.201.46,15035971,Plush Popcorn Changing Pad Cover - Circo&amp;trade;
,Safari,FALSE,targetcom,154.18,7,67.169.26,14694910,CeraVe Unscented Foaming Facial Cleanser - 12oz
,Chrome,FALSE,targetcom,76.98,2,98.26.21,12193628,ClosetMaid Pantry Cabinet - White
,Chrome,FALSE,targetcom,149.99,1,97.126.35,15285908,Graco&amp;#174; SnugRide&amp;#174; Click Connect&amp;trade; 35 Infant Car Seat
,IE,FALSE,targetcom,122.97,3,198.212.199,18813263,Swiffer WetJet Hardwood Floor Spray Mop Starter Kit
,Chrome,FALSE,targetcom,41.97,3,75.73.18,14826465,thinkThin&amp;#174; Brownie Crunch High Protein Bars
,Other,FALSE,targetcom,56.97,3,96.18.221,16977095,Cast Iron Skillet - 10 in - Threshold&amp;trade;
,Chrome,FALSE,targetcom,107.19,5,50.183.84,13966751,Preen Garden Weed Preventer 5.6lb
,Other,FALSE,targetcom,28.47,2,99.198.141,16339327,Nescafe Dolce Gusto Espresso Intenso Coffee Capsules 16ct
,IE,FALSE,targetcom,57.97,2,174.50.3,13141126,Medela Easy Expressions White Bustier
,Chrome,FALSE,targetcom,55.96,4,174.108.81,16813046,Tailored Microfiber 14&amp;quot; Bedskirt
,Chrome,FALSE,targetcom,30.78,4,71.79.253,14714006,Promotional Gift Card $5
,Chrome,FALSE,targetcom,52.27,3,50.130.64,13879425,Medela Breastmilk Storage Solution
,Chrome,FALSE,targetcom,49.99,1,45.18.177,15420003,Threshold&amp;trade; Scallop 16 Piece Dinnerware Set - White
,Firefox,FALSE,targetcom,349.42,9,71.201.46,14239510,JL Childress Cargo N Drinks Stroller Parent Tray
,Safari,FALSE,targetcom,154.18,7,67.169.26,13977966,CeraVe&amp;#174; Facial Moisturizing Lotion - 3 oz
,Safari,FALSE,targetcom,79.99,1,50.162.250,46788172,Fisher Price Take Along Deluxe Swing - Pink
,Chrome,FALSE,targetcom,27.85,5,99.48.153,17210301,Rimmel Stay Matte Powder
,Chrome,FALSE,targetcom,39.44,4,97.104.173,11034932,Evening Primrose Oil - 1000 mg Softgels - 75 Count - up &amp; up&amp;trade;
,IE,FALSE,targetcom,26.95,4,108.194.246,21415899,Vagisil&amp;#174; Deodorant Powder - 8 oz
,Safari,FALSE,targetcom,181.97,3,184.57.20,14318370,Threshold&amp;trade; Fretwork Rug
,IE,FALSE,targetcom,25.47,3,24.176.93,15123851,Pampers Baby Fresh Baby Wipes 7x Pop-Top Pack - 448 Count
,Other,FALSE,targetcom,49.99,1,186.15.2,14979083,PlayStation Plus 1 Year Subscription (email delivery)
,Safari,FALSE,targetcom,89.99,1,173.206.244,21519161,Serta Air Mattress -  Double High Queen (Beige)
,Safari,FALSE,targetcom,84.06,7,24.194.198,,
,Safari,FALSE,targetcom,84.06,7,24.194.198,,
,Firefox,FALSE,targetcom,162.74,2,68.11.167,11253503,Rachael Ray Tools 3-Piece Spatula Set Multiple Colors Available
,Chrome,FALSE,targetcom,59.96,2,12.167.101,16759852,NorChill 12 Can Sof Cooler Realtree Xtra
,Safari,FALSE,targetcom,142.95,6,162.201.181,14289098,Threshold&amp;trade; Lightweight Shower Liner - White
,IE,FALSE,targetcom,119,1,66.224.36,50527577,Samsung Extra Camera for BrightVIEW Video Baby Monitor
,Safari,FALSE,targetcom,31.35,6,74.215.142,14757301,Heavy Duty Foam Scrubbers - 2 Pack - up &amp; up&amp;trade;
,Chrome,FALSE,targetcom,227.34,3,24.22.57,50234367,Vintage Distressed Area Rug - The Industrial Shop&amp;trade;
,Chrome,FALSE,targetcom,256,2,71.88.42,17171016,Britax Parkway SGL Booster Car Seat - Scout Meadow
,Chrome,FALSE,targetcom,29.3,2,67.180.98,13977967,CeraVe&amp;#174; Moisturizing Cream - 16 oz
,Chrome,FALSE,targetcom,142.45,2,50.156.209,14348604,Infant Formula  Advantage 40oz
,Chrome,FALSE,targetcom,27.98,1,73.191.217,50419627,ME READER FROZEN
,Chrome,FALSE,targetcom,25.17,4,184.153.10,13331430,Gillette Odor Shield All Day Clean Deodorant 2.6-oz.
,Chrome,FALSE,targetcom,46.85,5,68.87.42,12964703,Cottonelle Clean Care Double Roll Toilet Paper
,Chrome,FALSE,targetcom,34.98,1,24.211.246,49120850,Elena Embroidered Square Pillow (18&amp;quot;x18&amp;quot;) Navy - Sabrina Soto&amp;trade;
,Chrome,FALSE,targetcom,9.49,1,71.210.233,46771376,2-Pack Cool Hair Wrap Mint - Xhiliration&amp;trade;
,Chrome,FALSE,targetcom,132.91,5,23.28.6,11260043,Pampers Baby Fresh Baby Wipes Refill Pack - 504 Count
,Chrome,FALSE,targetcom,132.91,5,23.28.6,24005832,Luvs Ultra Leakguards Diapers Box (Select Size)
,IE,FALSE,targetcom,25.99,1,68.77.36,14156780,Razor Berry Scooter - Blue/Red
,Other,FALSE,targetcom,118,10,100.38.136,13054340,Bounce Outdoor Fresh Fabric Softener Dryer Sheets 240 ct
,Firefox,FALSE,targetcom,126.48,3,207.69.172,49089423,Cucumber Baby Wipes - 800 Count - up &amp; up&amp;trade;
,Other,FALSE,targetcom,13.41,2,108.21.195,15045578,Wet Ones Antibacterial Hand Wipes Fresh Scent 20 ct
,Mobile Safari,TRUE,targetcom,72.96,4,50.98.199,17166226,Maternity Tank Top - Liz Lange&amp;#174; for Target
,Chrome,FALSE,targetcom,128.47,3,107.0.133,50445531,HUGGIES&amp;#174; Snug &amp; Dry Diapers Giant Pack (Select Size)
,Chrome,FALSE,targetcom,51.87,13,73.42.223,14783277,Gerber 2nd Foods Nature Select - Blended Fruits with Oatmeal 4oz 2pk
,Safari,FALSE,targetcom,194.96,3,97.90.95,14826355,Loggia Shelf with Rim - White 24&amp;quot;
,Chrome,FALSE,targetcom,61.92,3,174.16.235,17078567,GoodNites&amp;#174; Underwear for Boys (Select Size)
,Chrome,FALSE,targetcom,20,1,49.144.27,14979079,PlayStation $20USD Cash Code (email delivery)
,Safari,FALSE,targetcom,73.96,2,75.121.191,50969170,Twill Light Blocking Curtain Panel Stripe - Pillowfort&amp;trade;
,Other,FALSE,targetcom,359.96,1,67.45.96,21553563,Trademark Global Stalwart Pop-Up Instant Canopy Tent - Blue
,Chrome,FALSE,targetcom,97.99,1,76.217.230,14335059,Sure Fit Stretch Pique 2 Piece Slipcovers
,Chrome,FALSE,targetcom,132.96,3,206.251.89,14783935,Pampers Swaddlers Sensitive Diapers Super Pack (Select Size)
,Chrome,FALSE,targetcom,44.99,1,107.168.22,21500064,Phone Armband - Armpocket Ultra fits up to 6&amp;quot; - Black
,Chrome,FALSE,targetcom,88.94,11,108.233.98,12972686,Scrubbing Bubbles&amp;#174; Bathroom Cleaner with Fresh Clean Scent - 22 oz
,Firefox,FALSE,targetcom,194.96,4,73.83.3,51064855,Hotelier Comforter Set Navy 8 Piece - VCNY&amp;#174;
,Firefox,FALSE,targetcom,123.99,1,50.175.237,16506880,GreenWorks Corded 15 Amp Chipper and Shredder
,Chrome,FALSE,targetcom,145.79,1,108.91.186,15211454,Serta Never Flat Raised Air Mattress - Double High Queen
,Chrome,FALSE,targetcom,49.48,2,98.200.34,14898617,Disney&amp;#174; Frozen Sheet Set Anna &amp; Elsa - Twin (Reversible Pillowcase)
,Chrome,FALSE,targetcom,200.98,2,114.36.240,16508125,Britax Pioneer Harness Booster
,Safari,FALSE,targetcom,104.61,6,108.16.219,13532562,Method Almond Squirt + Mop Wood Floor Cleaner 25 oz
,Safari,FALSE,targetcom,46.36,4,108.250.45,11224357,Purina Beneful Healthy Weight with Real Chicken Dry Dog Food 15.5 lb. Bag
,Firefox,FALSE,targetcom,140.76,4,100.1.142,11260047,Pampers Sensitive Baby Wipes Refill Pack - 448 Count
,Safari,FALSE,targetcom,58.21,4,69.127.214,14172072,Threshold&amp;trade; Square Rim Bowl Set of 4 - White
,Safari,FALSE,targetcom,199.99,1,205.149.152,15644608,Frigidaire 5000 BTU Window-Mounted Mini-Compact Air Conditioner with Full-Function Remote Control (115V)
,Chrome,FALSE,targetcom,232.08,8,76.14.170,14174648,Performance Solid Bath Towels - Threshold&amp;trade;
,Safari,FALSE,targetcom,125.98,1,99.239.178,14404611,Mixed Material Side Table - Threshold&amp;trade;
,Firefox,FALSE,targetcom,30.77,2,71.168.178,13249621,essie&amp;#174; Nail Polish - Berry Naughty
,Mobile Safari,TRUE,targetcom,109.12,7,186.56.167,16386233,"Philips Avent My Natural Trainer Cup, Clear - 5oz (1pk)"
,Safari,FALSE,targetcom,188.72,15,72.229.5,14321285,Ombre Shower Curtain - Blue -Threshold&amp;trade;
,Chrome,FALSE,targetcom,134.96,2,98.119.247,11056288,Similac&amp;#174; Advance Organic Powder - 1.45lb
,Chrome,FALSE,targetcom,25.98,2,104.173.236,15245438,Sealy SecureStay Crib Mattress Pad
,Chrome,FALSE,targetcom,23.99,1,97.127.80,14152120,Threshold&amp;trade; Kayden 20 Piece Flatware Set
,Other,FALSE,targetcom,111.99,1,67.6.215,16799358,Maples Rugs Ogee Area Rug - Blue
,Other,FALSE,targetcom,56.99,1,184.158.229,50523018,Folding 4 Tier Corner Shelf- No Tools Req.
,Other,FALSE,targetcom,107.99,1,31.214.90,26397626,Combi All-In-One Mobile Entertainer - Classic Car
,Chrome,FALSE,targetcom,34.99,1,50.159.111,16193292,Women Halter Swim Dress - Merona&amp;trade;
,Other,FALSE,targetcom,269.99,1,204.44.10,15132454,Bose&amp;#174; SoundLink&amp;#174; Bluetooth&amp;#174; speaker III - Silver
,Chrome,FALSE,targetcom,24.99,1,50.179.73,51159238,Xbox Live 3 Month Gold Membership $24.99 (Email Delivery)
,Chrome,FALSE,targetcom,63.48,2,76.247.3,14934060,Biore Deep Charcoal Cleanser - 6.7 oz
,Firefox,FALSE,targetcom,179.99,1,201.141.30,15632682,NutriBullet Rx 1700-Watt Blender by Magic Bullet
,Firefox,FALSE,targetcom,26.99,3,209.162.32,14714006,Promotional Gift Card $5
,Safari,FALSE,targetcom,69.99,1,72.69.150,15699871,Threshold&amp;trade; Studio Round 16 Piece Dinnerware Set
,Chrome,FALSE,targetcom,86.06,3,73.239.111,12898296,Libbey Stemless Red Wine Glass Set of 12 - 17 oz
,Other,FALSE,targetcom,113.22,3,206.206.57,50321423,AllerEase Bed Bug Mattress Protector Kit Twin XL
,Chrome,FALSE,targetcom,88.94,11,108.233.98,13162353,Formula 409 Powerful All Purpose Cleaner Spray Bottle Lemon 32 oz
,IE,FALSE,targetcom,314.77,18,67.1.103,14291888,
,Chrome,FALSE,targetcom,128.95,3,73.55.154,50693291,"Enfagrow Toddler Next Step Natural Milk, Non-GMO Powder - 24oz"
,Chrome,FALSE,targetcom,33.44,3,73.151.132,14517617,BENADRYL BENADRYL     4-FL OZ ANTI ITCH GEL
,Other,FALSE,targetcom,76.96,4,98.211.224,12267137,"Little Adventures Wand, Tiara and Boa Set Pink"
